Time,Theta,Alpha,Input
0.538,-0,-180,125.663706143592
0.539,-0,-180,125.663706143592
0.54,-0,-180,125.663706143592
0.541,-0,-180,125.663706143592
0.542,-0,-180,125.663706143592
0.543,-0,-180,125.663706143592
0.544,-0,-180,125.663706143592
0.545,-0,-180,125.663706143592
0.546,-0,-180,125.663706143592
0.547,-0,-180,125.663706143592
0.548,-0,-180,125.663706143592
0.549,-0,-180,125.663706143592
0.55,-0,-180,125.663706143592
0.551,-0,-180,125.663706143592
0.552,-0,-180,125.663706143592
0.553,-0,-180,125.663706143592
0.554,-0,-180,125.663706143592
0.555,-0,-180,125.663706143592
0.556,-0,-180,125.663706143592
0.557,-0,-180,125.663706143592
0.558,-0,-180,125.663706143592
0.559,-0,-180,125.663706143592
0.56,-0,-180,125.663706143592
0.561,-0,-180,125.663706143592
0.562,-0,-180,125.663706143592
0.563,-0,-180,125.663706143592
0.564,-0,-180,125.663706143592
0.565,-0,-180,125.663706143592
0.566,-0,-180,125.663706143592
0.567,-0,-180,125.663706143592
0.568,-0,-180,125.663706143592
0.569,-0,-180,125.663706143592
0.57,-0,-180,125.663706143592
0.571,-0,-180,125.663706143592
0.572,-0,-180,125.663706143592
0.573,-0,-180,125.663706143592
0.574,-0,-180,125.663706143592
0.575,-0,-180,125.663706143592
0.576,-0,-180,125.663706143592
0.577,-0,-180,125.663706143592
0.578,-0,-180,125.663706143592
0.579,-0,-180,125.663706143592
0.58,-0,-180,125.663706143592
0.581,-0,-180,125.663706143592
0.582,-0,-180,125.663706143592
0.583,-0,-180,125.663706143592
0.584,-0,-180,125.663706143592
0.585,-0,-180,125.663706143592
0.586,-0,-180,125.663706143592
0.587,-0,-180,125.663706143592
0.588,-0,-180,125.663706143592
0.589,-0,-180,125.663706143592
0.59,-0,-180,125.663706143592
0.591,-0,-180,125.663706143592
0.592,-0,-180,125.663706143592
0.593,-0,-180,125.663706143592
0.594,-0,-180,125.663706143592
0.595,-0,-180,125.663706143592
0.596,-0,-180,125.663706143592
0.597,-0,-180,125.663706143592
0.598,-0,-180,125.663706143592
0.599,-0,-180,125.663706143592
0.6,-0,-180,125.663706143592
0.601,-0,-180,125.663706143592
0.602,-0,-180,125.663706143592
0.603,-0,-180,125.663706143592
0.604,-0,-180,125.663706143592
0.605,-0,-180,125.663706143592
0.606,-0,-180,125.663706143592
0.607,-0,-180,125.663706143592
0.608,-0,-180,125.663706143592
0.609,-0,-180,125.663706143592
0.61,-0,-180,125.663706143592
0.611,-0,-180,125.663706143592
0.612,-0,-180,125.663706143592
0.613,-0,-180,125.663706143592
0.614,-0,-180,125.663706143592
0.615,-0,-180,125.663706143592
0.616,-0,-180,125.663706143592
0.617,-0,-180,125.663706143592
0.618,-0,-180,125.663706143592
0.619,-0,-180,125.663706143592
0.62,-0,-180,125.663706143592
0.621,-0,-180,125.663706143592
0.622,-0,-180,125.663706143592
0.623,-0,-180,125.663706143592
0.624,-0,-180,125.663706143592
0.625,-0,-180,125.663706143592
0.626,-0,-180,125.663706143592
0.627,-0,-180,125.663706143592
0.628,-0,-180,125.663706143592
0.629,-0,-180,125.663706143592
0.63,-0,-180,125.663706143592
0.631,-0,-180,125.663706143592
0.632,-0,-180,125.663706143592
0.633,-0,-180,125.663706143592
0.634,-0,-180,125.663706143592
0.635,-0,-180,125.663706143592
0.636,-0,-180,125.663706143592
0.637,-0,-180,125.663706143592
0.638,-0,-180,125.663706143592
0.639,-0,-180,125.663706143592
0.64,-0,-180,125.663706143592
0.641,-0,-180,125.663706143592
0.642,-0,-180,125.663706143592
0.643,-0,-180,125.663706143592
0.644,-0,-180,125.663706143592
0.645,-0,-180,125.663706143592
0.646,-0,-180,125.663706143592
0.647,-0,-180,125.663706143592
0.648,-0,-180,125.663706143592
0.649,-0,-180,125.663706143592
0.65,-0,-180,125.663706143592
0.651,-0,-180,125.663706143592
0.652,-0,-180,125.663706143592
0.653,-0,-180,125.663706143592
0.654,-0,-180,125.663706143592
0.655,-0,-180,125.663706143592
0.656,-0,-180,125.663706143592
0.657,-0,-180,125.663706143592
0.658,-0,-180,125.663706143592
0.659,-0,-180,125.663706143592
0.66,-0,-180,125.663706143592
0.661,-0,-180,125.663706143592
0.662,-0,-180,125.663706143592
0.663,-0,-180,125.663706143592
0.664,-0,-180,125.663706143592
0.665,-0,-180,125.663706143592
0.666,-0,-180,125.663706143592
0.667,-0,-180,125.663706143592
0.668,-0,-180,125.663706143592
0.669,-0,-180,125.663706143592
0.67,-0,-180,125.663706143592
0.671,-0,-180,125.663706143592
0.672,-0,-180,125.663706143592
0.673,-0,-180,125.663706143592
0.674,-0,-180,125.663706143592
0.675,-0,-180,125.663706143592
0.676,-0,-180,125.663706143592
0.677,-0,-180,125.663706143592
0.678,-0,-180,125.663706143592
0.679,-0,-180,125.663706143592
0.68,-0,-180,125.663706143592
0.681,-0,-180,125.663706143592
0.682,-0,-180,125.663706143592
0.683,-0,-180,125.663706143592
0.684,-0,-180,125.663706143592
0.685,-0,-180,125.663706143592
0.686,-0,-180,125.663706143592
0.687,-0,-180,125.663706143592
0.688,-0,-180,125.663706143592
0.689,-0,-180,125.663706143592
0.69,-0,-180,125.663706143592
0.691,-0,-180,125.663706143592
0.692,-0,-180,125.663706143592
0.693,-0,-180,125.663706143592
0.694,-0,-180,125.663706143592
0.695,-0,-180,125.663706143592
0.696,-0,-180,125.663706143592
0.697,-0,-180,125.663706143592
0.698,-0,-180,125.663706143592
0.699,-0,-180,125.663706143592
0.7,-0,-180,125.663706143592
0.701,-0,-180,125.663706143592
0.702,-0,-180,125.663706143592
0.703,-0,-180,125.663706143592
0.704,-0,-180,125.663706143592
0.705,-0,-180,125.663706143592
0.706,-0,-180,125.663706143592
0.707,-0,-180,125.663706143592
0.708,-0,-180,125.663706143592
0.709,-0,-180,125.663706143592
0.71,-0,-180,125.663706143592
0.711,-0,-180,125.663706143592
0.712,-0,-180,125.663706143592
0.713,-0,-180,125.663706143592
0.714,-0,-180,125.663706143592
0.715,-0,-180,125.663706143592
0.716,-0,-180,125.663706143592
0.717,-0,-180,125.663706143592
0.718,-0,-180,125.663706143592
0.719,-0,-180,125.663706143592
0.72,-0,-180,125.663706143592
0.721,-0,-180,125.663706143592
0.722,-0,-180,125.663706143592
0.723,-0,-180,125.663706143592
0.724,-0,-180,125.663706143592
0.725,-0,-180,125.663706143592
0.726,-0,-180,125.663706143592
0.727,-0,-180,125.663706143592
0.728,-0,-180,125.663706143592
0.729,-0,-180,125.663706143592
0.73,-0,-180,125.663706143592
0.731,-0,-180,125.663706143592
0.732,-0,-180,125.663706143592
0.733,-0,-180,125.663706143592
0.734,-0,-180,125.663706143592
0.735,-0,-180,125.663706143592
0.736,-0,-180,125.663706143592
0.737,-0,-180,125.663706143592
0.738,-0,-180,125.663706143592
0.739,-0,-180,125.663706143592
0.74,-0,-180,125.663706143592
0.741,-0,-180,125.663706143592
0.742,-0,-180,125.663706143592
0.743,-0,-180,125.663706143592
0.744,-0,-180,125.663706143592
0.745,-0,-180,125.663706143592
0.746,-0,-180,125.663706143592
0.747,-0,-180,125.663706143592
0.748,-0,-180,125.663706143592
0.749,-0,-180,125.663706143592
0.75,-0,-180,125.663706143592
0.751,-0,-180,125.663706143592
0.752,-0,-180,125.663706143592
0.753,-0,-180,125.663706143592
0.754,-0,-180,125.663706143592
0.755,-0,-180,125.663706143592
0.756,-0,-180,125.663706143592
0.757,-0,-180,125.663706143592
0.758,-0,-180,125.663706143592
0.759,-0,-180,125.663706143592
0.76,-0,-180,125.663706143592
0.761,-0,-180,125.663706143592
0.762,-0,-180,125.663706143592
0.763,-0,-180,125.663706143592
0.764,-0,-180,125.663706143592
0.765,-0,-180,125.663706143592
0.766,-0,-180,125.663706143592
0.767,-0,-180,125.663706143592
0.768,-0,-180,125.663706143592
0.769,-0,-180,125.663706143592
0.77,-0,-180,125.663706143592
